"","x"
"1",0.00918478481832689
"2",0.0503657021772534
"3",-0.01382859886515
"4",0.0646146679597795
"5",0.0655839250231675
"6",0.114860301112996
"7",-0.0228387065133724
"8",0.0525524612294037
"9",0.125554848343725
"10",0.0407671917090999
"11",-0.055758299396158
"12",-0.186482243139421
"13",-0.115468171011824
"14",-0.0806260317482854
"15",-0.0107588091120095
"16",-0.0579357296863262
"17",-0.0693020356658349
"18",-0.0578727103539296
"19",0.0095177448187712
"20",-0.00722379304464558
"21",-0.0917588408116302
"22",-0.0514031578431738
"23",-0.0204452954816942
"24",0.0188927501732802
"25",-0.0259945660678787
"26",0.0418028731019693
"27",0.0412336933953399
"28",-0.00234556456596203
"29",-0.035796179238013
"30",-0.0231468980563923
"31",-0.0753216536632483
"32",0.00556911315438693
"33",-0.102863726265647
"34",-0.0178938156570752
"35",0.0960018469218326
"36",-0.0574302832655757
"37",-0.00258941276819458
"38",0.0768002484161867
"39",-0.101957052808304
"40",0.0203149413858829
"41",-0.00564662667728843
"42",-0.00558618631049873
"43",-0.023095401949701
"44",-0.0294133397081811
"45",-0.00766144552988874
"46",0.0153090153654549
"47",-0.0136049674603142
"48",-0.00308528856617942
"49",-0.108888114879965
"50",-0.18660104511325
"51",-0.131990034910786
"52",-0.0599616167569885
"53",0.0150621786363242
"54",-0.00111694968005068
"55",-0.0210858140047442
"56",0.0315234342340832
"57",-0.0275867975192815
"58",0.00196184837512803
"59",-0.0365679806564895
"60",-0.00214902513382102
"61",0.00885883102468809
"62",0.0251510876579429
"63",-0.001509287060112
"64",0.00806150051824034
"65",0.0202216703882456
"66",-0.0198559088604101
"67",-0.0189883370032167
"68",0.135927390967179
"69",0.00756954326653559
"70",-0.125132003193763
"71",0.0419258231968942
"72",-0.111200001896642
"73",-0.0708324314169953
"74",-0.051726099070769
"75",0.0228107473376042
"76",-0.0456003103544592
"77",0.048429437984124
"78",0.014543477636347
"79",-0.0184297804559267
"80",0.017847044240025
"81",0.00606575401650104
"82",0.0549012353660277
"83",0.00897357340194672
"84",-0.0216878584441683
"85",-0.018343851579122
"86",-0.022645484643128
"87",0.0296999362494399
"88",-0.0237750454431876
"89",0.0114723159197455
"90",-0.0358761383894253
"91",0.0108057261209222
"92",0.00413815806553951
"93",0.0171586715459794
"94",0.022716896764532
"95",-0.0592597207056918
"96",-0.0487602433351038
"97",0.0100071457336522
"98",-0.0679710245931774
"99",-0.015432240107334
"100",-0.0168778314661518
"101",-0.068598060213587
"102",0.0042205498775433
"103",0.00328991258134186
"104",4.14771516413746e-06
"105",-0.0119794206024238
"106",0.0490408375684124
"107",-0.0364802958483243
"108",0.00496881642635802
"109",0.0280034326344524
"110",0.00610311274632822
"111",0.0292097102578029
"112",-0.00258944003882987
"113",0.0234135376043175
"114",-0.0367879654906154
"115",-0.0687480102596756
"116",-0.0500844260650917
"117",0.0199446579764016
"118",0.0720628768586994
"119",-0.0282921533126234
"120",-0.019014172900319
"121",0.0947882454667503
"122",-0.00503865802570211
"123",0.0115993228408162
"124",-0.00142225866848181
"125",0.0913821337763519
"126",-0.025080051098971
"127",-0.0531801592792491
"128",0.0890437909441845
"129",-0.0410355830858087
"130",0.0971123547697823
"131",-0.00337522929400528
"132",-0.0211214800516731
"133",-0.0985937715114629
"134",0.0283195035097896
"135",-0.0291329763157028
"136",-0.0250166489383444
"137",-0.00818628580202193
"138",-0.112043635649399
"139",-0.0481176039848837
"140",0.0618122777853707
"141",-0.0170314038947309
"142",-0.0174331818868362
"143",-0.0507096708824808
"144",-0.036292435711962
"145",-0.00349923537731126
"146",-0.0233292872691748
"147",-0.0317962580826004
"148",0.00344402949862991
"149",-0.0217783353742663
"150",0.0307398223040311
"151",-0.0240784563901736
"152",-0.00740343502058131
"153",0.0194853402431875
"154",-0.0341078185446877
"155",-0.0229638627679533
"156",-0.0465918137331174
"157",0.006483786470705
"158",-0.00105729646850274
"159",0.0462605186911444
"160",0.286280496057644
"161",-0.0481111702137314
"162",-0.175345062003314
"163",-0.101068481528858
"164",-0.0465025638348674
"165",0.00190653383514323
"166",0.0303620335388903
"167",-0.0111276649065896
"168",-0.039015040137324
"169",-0.0386698360043393
"170",0.119396687874838
"171",0.0556221871152297
"172",0.0250712884272388
"173",-0.0202211076168555
"174",0.0565022473490197
"175",0.0416331345831776
"176",0.00115198802470135
"177",-0.0953755885410671
"178",0.0794391468315142
"179",0.00977193494508946
"180",-0.00145995781413399
"181",-0.00414840276671371
"182",0.00068453951347857
"183",-0.0268232518398603
"184",-0.0476870349141089
"185",-0.0344612814665757
"186",-0.0365082842591539
"187",-0.0365899076397983
"188",0.0442357299933567
"189",-0.0265579820045112
"190",-0.0761265085857995
"191",0.0424775706753635
"192",0.0746179523428886
"193",-0.0716537161538941
"194",0.159437138824219
"195",-0.00950783422483821
"196",0.0487777039151099
"197",-0.0243054749794149
"198",-0.00979834669673898
"199",-0.0519893368455963
"200",-0.0413722599269115
"201",-0.102131942030904
"202",0.0639665534657164
"203",-0.0256643021799369
"204",0.0401050321713607
"205",-0.00183998804364309
"206",-0.0180953378805758
"207",-0.0454824641652726
"208",-0.00540620266511458
"209",-0.0268196169056048
"210",-0.00472787527629239
"211",-0.0129811548012528
"212",-0.00663417494676848
"213",0.00117354024469513
"214",0.0427811924040914
"215",0.014695313428666
"216",0.00382763294228476
"217",-0.0289192384749786
"218",-0.0409802273050097
"219",-0.0482994600880709
"220",-0.0761274829282395
"221",-0.032967277824379
"222",-0.0197405282433331
"223",0.400726483489037
"224",-0.0612441711554619
"225",0.121154022933303
"226",0.0417641372369558
"227",-0.0378752215397496
"228",0.109432581569058
